smiles,Active/Inactive
CCc1nnc(NC(=O)CCl)s1,0.0
COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)=O)C1c1ccccc1[N+](=O)[O-],0.0
CO.COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,0.0
CNCC(=O)OCc1cccnc1N(C)C(=O)OC(C)[n+]1cnn(C[C@](O)(c2cc(F)ccc2F)[C@@H](C)c2nc(-c3ccc(C#N)cc3)cs2)c1,0.0
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3cnns3)CS[C@H]12)c1csc(N)n1.Cl,0.0
COC1CC(=C(c2cccs2)c2cccs2)C[N+](C)(C)C1.[Br-],0.0
COc1cc2nc(-c3ccc(N4CCN(C)CC4)cc3)nc(NCCN3CCOCC3)c2cc1OC,0.0
CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C,0.0
CC1(C)CC(NC(=O)C(=O)Nc2ccc(Cl)cc2)CC(C)(C)N1,0.0
COC1CN(S(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)C1,1.0
C=CC(=O)N1Cc2ccc(S(=O)(=O)N(C)C)cc2C1,0.0
COc1cc(OC)[n+](C)c(C#N)n1,0.0
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,0.0
CC[C@]12C=CCN3CC[C@@]4(c5cc([C@@]6(C(=O)OC)CC7C[C@@H](C(C)(F)F)CN(Cc8c6[nH]c6ccccc86)C7)c(OC)cc5N(C)[C@H]4[C@@](O)(C(=O)OC)[C@@H]1OC(C)=O)[C@@H]32,0.0
CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,0.0
NC(=O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3CCc3ccccc32)CC1,0.0
Cc1ccc([S+](=O)([O-])Nc2cc(-c3ccc(C#N)s3)ccc2C)cc1,0.0
Cn1cc(-c2cnc3ccc4ccc(C[S+](=O)([O-])NCc5ccccn5)cc4c(=O)c3c2)cn1,0.0
CNC(=O)CN1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3cc(F)ccc23)C1,1.0
CCn1c(=O)c(-c2ccc(-c3cncc(C)n3)cc2Cl)cc2cnc(NCCC3CCN(C)CC3)nc21,0.0
CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2.O=C(O)/C=C\C(=O)O,0.0
